Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
Canada,Czech Republic,1959,36,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1959,194,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1959,1224,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1959,241,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1960,9,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1960,43,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1960,1489,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1960,44,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1961,14,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1961,51,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1961,937,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1961,136,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1962,17,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1962,46,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1962,959,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1962,118,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1963,14,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1963,37,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1963,1423,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1963,41,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1964,23,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1964,42,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1964,1523,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1964,152,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1965,90,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1965,35,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1965,1320,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1965,70,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1966,186,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1966,21,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1966,1290,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1966,34,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1967,177,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1967,22,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1967,1085,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1967,17,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1968,9164,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1968,30,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1968,163,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1968,117,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1969,2799,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1969,31,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1969,85,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Various/unknown,1969,87,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1970,466,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1970,51,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1970,63,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tibetan,1970,3,,"(-106.346771, 56.130366)"
Canada,Various/unknown,1970,42,,"(-106.346771, 56.130366)"
Belgium,Various/unknown,1971,21,,"(4.469936, 50.503887)"
Canada,Czech Republic,1971,115,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1971,3,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1971,34,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tibetan,1971,116,,"(-106.346771, 56.130366)"
Canada,Various/unknown,1971,36,,"(-106.346771, 56.130366)"
Belgium,Various/unknown,1972,27,,"(4.469936, 50.503887)"
Canada,Czech Republic,1972,30,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1972,6,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1972,52,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tibetan,1972,30,,"(-106.346771, 56.130366)"
Canada,Tanzania,1972,253,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,Various/unknown,1972,63,,"(-106.346771, 56.130366)"
Belgium,Various/unknown,1973,25,,"(4.469936, 50.503887)"
Canada,Czech Republic,1973,5,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1973,90,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1973,7,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tibetan,1973,10,,"(-106.346771, 56.130366)"
Canada,Tanzania,1973,92,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,Various/unknown,1973,84,,"(-106.346771, 56.130366)"
Belgium,Various/unknown,1974,11,,"(4.469936, 50.503887)"
Canada,Czech Republic,1974,11,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Russia,1974,272,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1974,7,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tanzania,1974,5,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,Various/unknown,1974,63,,"(-106.346771, 56.130366)"
Canada,Vietnam,1974,6,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Belgium,Various/unknown,1975,3,,"(4.469936, 50.503887)"
Canada,Czech Republic,1975,26,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Laos,1975,17,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Russia,1975,515,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1975,24,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Tanzania,1975,1,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,Various/unknown,1975,93,,"(-106.346771, 56.130366)"
Canada,Vietnam,1975,3262,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Australia,Various/unknown,1976,4374,,"(133.775136, -25.274398)"
Belgium,Various/unknown,1976,7,,"(4.469936, 50.503887)"
Canada,Czech Republic,1976,27,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Laos,1976,28,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
