,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
5,Canada,Czech Rep.,1959,36,,"(-106.346771, 56.130366)"
21,Canada,Russian Federation,1959,194,,"(-106.346771, 56.130366)"
22,Canada,Serbia and Kosovo: S/RES/1244 (1999),1959,1224,,"(-106.346771, 56.130366)"
25,Canada,Various/unknown,1959,241,,"(-106.346771, 56.130366)"
29,Canada,Czech Rep.,1960,9,,"(-106.346771, 56.130366)"
39,Canada,Russian Federation,1960,43,,"(-106.346771, 56.130366)"
40,Canada,Serbia and Kosovo: S/RES/1244 (1999),1960,1489,,"(-106.346771, 56.130366)"
41,Canada,Various/unknown,1960,44,,"(-106.346771, 56.130366)"
46,Canada,Czech Rep.,1961,14,,"(-106.346771, 56.130366)"
57,Canada,Russian Federation,1961,51,,"(-106.346771, 56.130366)"
58,Canada,Serbia and Kosovo: S/RES/1244 (1999),1961,937,,"(-106.346771, 56.130366)"
59,Canada,Various/unknown,1961,136,,"(-106.346771, 56.130366)"
64,Canada,Czech Rep.,1962,17,,"(-106.346771, 56.130366)"
77,Canada,Russian Federation,1962,46,,"(-106.346771, 56.130366)"
78,Canada,Serbia and Kosovo: S/RES/1244 (1999),1962,959,,"(-106.346771, 56.130366)"
80,Canada,Various/unknown,1962,118,,"(-106.346771, 56.130366)"
85,Canada,Czech Rep.,1963,14,,"(-106.346771, 56.130366)"
96,Canada,Russian Federation,1963,37,,"(-106.346771, 56.130366)"
97,Canada,Serbia and Kosovo: S/RES/1244 (1999),1963,1423,,"(-106.346771, 56.130366)"
100,Canada,Various/unknown,1963,41,,"(-106.346771, 56.130366)"
105,Canada,Czech Rep.,1964,23,,"(-106.346771, 56.130366)"
117,Canada,Russian Federation,1964,42,,"(-106.346771, 56.130366)"
118,Canada,Serbia and Kosovo: S/RES/1244 (1999),1964,1523,,"(-106.346771, 56.130366)"
121,Canada,Various/unknown,1964,152,,"(-106.346771, 56.130366)"
125,Canada,Czech Rep.,1965,90,,"(-106.346771, 56.130366)"
135,Canada,Russian Federation,1965,35,,"(-106.346771, 56.130366)"
136,Canada,Serbia and Kosovo: S/RES/1244 (1999),1965,1320,,"(-106.346771, 56.130366)"
139,Canada,Various/unknown,1965,70,,"(-106.346771, 56.130366)"
143,Canada,Czech Rep.,1966,186,,"(-106.346771, 56.130366)"
152,Canada,Russian Federation,1966,21,,"(-106.346771, 56.130366)"
153,Canada,Serbia and Kosovo: S/RES/1244 (1999),1966,1290,,"(-106.346771, 56.130366)"
156,Canada,Various/unknown,1966,34,,"(-106.346771, 56.130366)"
160,Canada,Czech Rep.,1967,177,,"(-106.346771, 56.130366)"
168,Canada,Russian Federation,1967,22,,"(-106.346771, 56.130366)"
169,Canada,Serbia and Kosovo: S/RES/1244 (1999),1967,1085,,"(-106.346771, 56.130366)"
172,Canada,Various/unknown,1967,17,,"(-106.346771, 56.130366)"
175,Canada,Czech Rep.,1968,9164,,"(-106.346771, 56.130366)"
180,Canada,Russian Federation,1968,30,,"(-106.346771, 56.130366)"
181,Canada,Serbia and Kosovo: S/RES/1244 (1999),1968,163,,"(-106.346771, 56.130366)"
182,Canada,Various/unknown,1968,117,,"(-106.346771, 56.130366)"
